"University of Texas at San Antonio Schedule of Classes"
""
"These are the search criteria you submitted :"
"Term: Fall 2014"
"Subject:    PHY "
"Course Number: %"
"Attributes: Any"
"Part of Term: Any"
Time Blocks: Any
"Campus: Any"
""
"FALL 2014 (201510)"
"Status","Subject","Course","Section","CRN","Title","Cred","Meeting Days","Times","Campus","Location","Instructor","Date","Weeks","Seats","Enrolled","Available","Final Exam","Fees","Notes","Comments"
"CLOSED","PHY","1951","008","17370","Physics-Scientists&Engrs I Lab",  1,"W","8:30-11:50am","Main Camp","MS 3.02.16","Benson, James O.",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
"CLOSED","PHY","1951","009","17371","Physics-Scientists&Engrs I Lab",  1,"W","12:00-3:20pm","Main Camp","MS 3.02.16","Benson, James O.",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1951","010","17372","Physics-Scientists&Engrs I Lab",  1,"W","3:30-6:50pm","Main Camp","MS 3.02.16","Kereselidze, Zurab",08/27-12/20,16,24,23,1,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1951","011","17376","Physics-Scientists&Engrs I Lab",  1,"W","7:00-10:20pm","Main Camp","MS 3.02.16","Kononchuk, Rodion",08/27-12/20,16,24,23,1,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1951","012","17377","Physics-Scientists&Engrs I Lab",  1,"R","8:30-11:50am","Main Camp","MS 3.02.16","Tek, Sumeyra",08/27-12/20,16,24,22,2,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1963","001","17378","Physics for Scientists&Engr II",  3,"TR","11:30-12:45pm","Main Camp","FLN 2.02.10","Chen, Chonglin",08/27-12/20,16,119,92,27,Tue  Dec 16  09:45 am - 12:15 pm  ,   $60,O,This section is recommended for Physics and Chemistrymajors  but other majors can enroll.
"CLOSED","PHY","1963","002","17379","Physics for Scientists&Engr II",  3,"TR","10:00-11:15am","Main Camp","FLN 2.03.12","Konno, Ichishiro",08/27-12/20,16,120,120,0,Mon  Dec 15  09:45 am - 12:15 pm  ,   $60,O, 
"CLOSED","PHY","1963","003","17380","Physics for Scientists&Engr II",  3,"TR","8:30-9:45am","Main Camp","FLN 2.03.12","Chabanov, Andrey",08/27-12/20,16,120,120,0,Fri  Dec 19  09:45 am - 12:15 pm  ,   $60,O, 
"CLOSED","PHY","1971","001","17381","Physics-Scientists&Engr II Lab",  1,"W","3:30-6:50pm","Main Camp","MS 3.02.34","Benson, James O.",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
"CLOSED","PHY","1971","002","17382","Physics-Scientists&Engr II Lab",  1,"W","7:00-10:20pm","Main Camp","MS 3.02.34","Benson, James O.",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
"CANCELED","PHY","1971","003","17383","Physics-Scientists&Engr II Lab",  1,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,24,0,24,To be determined by instructor ,   $30,O, 
"CLOSED","PHY","1971","004","17384","Physics-Scientists&Engr II Lab",  1,"R","12:00-3:20pm","Main Camp","MS 3.02.34","Benson, James O.",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
"CLOSED","PHY","1971","005","17385","Physics-Scientists&Engr II Lab",  1,"R","3:30-6:50pm","Main Camp","MS 3.02.34","Sreekumar, Sushilkumar",08/27-12/20,16,24,24,0,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1971","006","17387","Physics-Scientists&Engr II Lab",  1,"R","7:00-10:20pm","Main Camp","MS 3.02.34","Rubin, Ethan P.",08/27-12/20,16,24,23,1,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1971","007","17388","Physics-Scientists&Engr II Lab",  1,"F","8:30-11:50am","Main Camp","MS 3.02.34","Benson, James O.",08/27-12/20,16,24,23,1,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1971","008","17398","Physics-Scientists&Engr II Lab",  1,"F","12:00-3:20pm","Main Camp","MS 3.02.34","Ovanesyan, Zaven",08/27-12/20,16,24,23,1,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1971","009","17391","Physics-Scientists&Engr II Lab",  1,"R","2:30-5:50pm","Main Camp","MS 3.02.14","Ovanesyan, Zaven",08/27-12/20,16,24,23,1,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1971","010","17389","Physics-Scientists&Engr II Lab",  1,"F","12:00-3:20pm","Main Camp","MS 3.02.14","Benson, James O.",08/27-12/20,16,24,22,2,To be determined by instructor ,   $30,O, 
"OPEN","PHY","1971","011","18043","Physics-Scientists&Engr II Lab",  1,"F","8:30-11:50am","Main Camp","MS 3.02.14","Sreekumar, Sushilkumar",08/27-12/20,16,24,19,5,To be determined by instructor ,   $30,O, 
"OPEN","PHY","2103","001","15524","Modern Physics",  3,"MWF","12:00-12:50pm","Main Camp","FLN 1.02.08","Konno, Ichishiro",08/27-12/20,16,40,9,31,Tue  Dec 16  03:15 pm - 05:45 pm  ,   $30,O, 
"OPEN","PHY","2111","001","16336","Modern Physics Laboratory",  1,"W","3:00-7:10pm","Main Camp","FLN 1.01.24A","Mendoza Santoyo, Fernando",08/27-12/20,16,18,8,10,To be determined by instructor ,   $30,O, 
"OPEN","PHY","2823","001","15525","Mathematical Physics I",  3,"TR","8:30-9:45am","Main Camp","MS 2.02.55","Ayon, Arturo A.",08/27-12/20,16,40,8,32,Fri  Dec 19  09:45 am - 12:15 pm  ,   $48,O, 
"OPEN","PHY","3203","001","11079","Classical Mechanics I",  3,"TR","2:30-3:45pm","Main Camp","AET 0.204","Lopez-Lozano, Xochitl",08/27-12/20,16,50,7,43,Thu  Dec 18  12:30 pm - 03:00 pm  ,   $30,O, 
"OPEN","PHY","3293","001","13008","Thermal Physics",  3,"MWF","9:00-9:50am","Main Camp","AET 0.204","Ponce-Pedraza, Arturo",08/27-12/20,16,50,23,27,Tue  Dec 16  07:00 am - 09:30 am  ,   $30,O, 
"OPEN","PHY","3423","001","13075","Electricity And Magnetism",  3,"TR","4:00-5:15pm","Main Camp","AET 0.214","Marucho, Marcelo D.",08/27-12/20,16,35,23,12,Mon  Dec 15  03:15 pm - 05:45 pm  ,   $30,O, 
"OPEN","PHY","3443","002","14106","Modern Optics",  3,"TR","10:00-11:15am","Main Camp","AET 0.102","Sardar, Dhiraj",08/27-12/20,16,30,18,12,Mon  Dec 15  09:45 am - 12:15 pm  ,   $30,O, 
"OPEN","PHY","4263","002","14105","Quantum Mechanics I",  3,"MWF","2:00-2:50pm","Main Camp","AET 0.214","Peralta, Xomalin G.",08/27-12/20,16,35,17,18,Mon  Dec 15  12:30 pm - 03:00 pm  ,   $30,, 
"OPEN","PHY","4423","001","17400","Quantum Mechanics II",  3,"TR","11:30-12:45pm","Main Camp","MS 2.03.18","Koinov, Zlatko G.",08/27-12/20,16,30,5,25,Tue  Dec 16  09:45 am - 12:15 pm  ,   $30,O, 
"CLOSED","PHY","4911","001","10090","Independent Study",  1,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,10,0,10,To be determined by instructor ,   $10,GCO, 
"OPEN","PHY","4913","001","10788","Independent Study",  3,"TBA","TBA","Main Camp"," ","Marucho, Marcelo D.",08/27-12/20,16,10,1,9,To be determined by instructor ,   $30,GO, 
"OPEN","PHY","4913","002","10091","Independent Study",  3,"TBA","TBA","Main Camp"," ","Jose-Yacaman, Miguel",08/27-12/20,16,10,2,8,To be determined by instructor ,   $30,GO, 
"OPEN","PHY","4913","003","12443","Independent Study",  3,"TBA","TBA","Main Camp"," ","Lopez-Mobilia, Rafael A.",08/27-12/20,16,5,1,4,To be determined by instructor ,   $30,GO, 
"OPEN","PHY","4913","004","12444","Independent Study",  3,"TBA","TBA","Main Camp"," ","Sardar, Dhiraj",08/27-12/20,16,5,2,3,To be determined by instructor ,   $30,GO, 
"OPEN","PHY","4953","002","18084","SP TOP: Nanoscience",  3,"TR","7:30-8:45pm","Main Camp","AET 0.214","Whetten, Robert L.",08/27-12/20,16,10,2,8,Thu  Dec 18  06:00 pm - 08:30 pm  ,   $30,O,Cross-listed w/PHY 7973.001.Credit cannot be earned for both PHY 7973 % PHY 4953.
"OPEN","PHY","4983","001","16237","Unifying Concepts in Physics",  3,"W","3:00-5:45pm","Main Camp","AET 0.214","Lopez-Mobilia, Rafael A.",08/27-12/20,16,20,8,12,Wed  Dec 17  03:15 pm - 05:45 pm  ,   $60,O, 
"OPEN","PHY","4993","001","12373","Honors Research",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,   $30,AO, 
"OPEN","PHY","4993","002","12418","Honors Research",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,   $30,AO, 
"OPEN","PHY","4993","003","12772","Honors Research",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,   $30,O, 
"OPEN","PHY","4993","004","13683","Honors Research",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,   $30,O, 
"OPEN","PHY","5103","001","12009","Classical Mechanics I",  3,"TR","4:00-5:15pm","Main Camp","AET 0.204","Chabanov, Andrey",08/27-12/20,16,50,13,37,Mon  Dec 15  03:15 pm - 05:45 pm  ,  $120,, 
"OPEN","PHY","5203","001","16280","Electrodynamics I",  3,"TR","8:30-9:45am","Main Camp","AET 0.102","Chen, Liao Y.",08/27-12/20,16,30,11,19,Fri  Dec 19  09:45 am - 12:15 pm  ,  $120,, 
"OPEN","PHY","6123","001","17897","Plasma Physics and MHD",  3,"TR","11:30-12:45pm","Main Camp","AET 0.102","Jahn, Jorg-Micha",08/27-12/20,16,30,6,24,Tue  Dec 16  09:45 am - 12:15 pm  ,  $120,B, 
"OPEN","PHY","6413","001","18148","Fundamentals of Astronomy",  3,"TR","8:30-9:45am","Main Camp","AET 0.214","Schlegel, Eric M.",08/27-12/20,16,10,2,8,Fri  Dec 19  09:45 am - 12:15 pm  ,  $120,,Cross-listed w/ AST 3023.001.Credit cannot be earned for both AST 3023 & PHY 6413.
"OPEN","PHY","6953","001","12640","Independent Study",  3,"TBA","TBA","Main Camp"," ","Marucho, Marcelo D.",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,GO, 
"OPEN","PHY","6953","002","13199","Independent Study",  3,"TBA","TBA","Main Camp"," ","Jose-Yacaman, Miguel",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,GO, 
"OPEN","PHY","6953","003","13216","Independent Study",  3,"TBA","TBA","Main Camp"," ","Chen, Liao Y.",08/27-12/20,16,5,2,3,To be determined by instructor ,  $120,O, 
"OPEN","PHY","6953","004","13686","Independent Study",  3,"TBA","TBA","Main Camp"," ","Chen, Chonglin",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,GO, 
"OPEN","PHY","6953","005","14244","Independent Study",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,GO, 
"OPEN","PHY","6953","006","16683","Independent Study",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,GO, 
"OPEN","PHY","6953","007","16710","Independent Study",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,GO, 
"OPEN","PHY","6953","008","16711","Independent Study",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,GO, 
"OPEN","PHY","6983","001","13669","Master's Thesis",  3,"TBA","TBA","Main Camp"," ","Schlegel, Eric M.",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,BO, 
"OPEN","PHY","6983","002","13670","Master's Thesis",  3,"TBA","TBA","Main Camp"," ","Valek, Philip W.",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,BO, 
"CLOSED","PHY","6983","003","13671","Master's Thesis",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,BCO, 
"OPEN","PHY","7001","001","13214","Directed Research",  1,"TBA","TBA","Main Camp"," ","Lopez-Mobilia, Rafael A.",08/27-12/20,16,5,1,4,To be determined by instructor ,   $40,BO, 
"OPEN","PHY","7003","001","12024","Directed Research",  3,"TBA","TBA","Main Camp"," ","Marucho, Marcelo D.",08/27-12/20,16,6,3,3,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7003","002","12048","Directed Research",  3,"TBA","TBA","Main Camp"," ","Desai, Mihir I.",08/27-12/20,16,10,1,9,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7003","003","12730","Directed Research",  3,"TBA","TBA","Main Camp"," ","Chen, Liao Y.",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,, 
"OPEN","PHY","7003","004","13206","Directed Research",  3,"TBA","TBA","Main Camp"," ","Benacquista, Matthew",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,G, 
"OPEN","PHY","7003","005","13664","Directed Research",  3,"TBA","TBA","Main Camp"," ","Jose-Yacaman, Miguel",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,G, 
"OPEN","PHY","7003","006","13665","Directed Research",  3,"TBA","TBA","Main Camp"," ","Fuselier, Stephen",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7003","007","13682","Directed Research",  3,"TBA","TBA","Main Camp"," ","Waite, Jack H.",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7003","008","13687","Directed Research",  3,"TBA","TBA","Main Camp"," ","Diaz, Mario",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7003","009","14227","Directed Research",  3,"TBA","TBA","Main Camp"," ","Valek, Philip W.",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7003","010","14228","Directed Research",  3,"TBA","TBA","Main Camp"," ","Chabanov, Andrey",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7003","011","14229","Directed Research",  3,"TBA","TBA","Main Camp"," ","Packham, Christopher",08/27-12/20,16,5,2,3,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7003","012","14230","Directed Research",  3,"TBA","TBA","Main Camp"," ","Diaz, Mario",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7003","013","14231","Directed Research",  3,"TBA","TBA","Main Camp"," ","Brancaleon, Lorenzo",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7003","014","14232","Directed Research",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7003","015","14246","Directed Research",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7003","016","14247","Directed Research",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7003","017","16699","Directed Research",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7003","018","16700","Directed Research",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7003","019","16712","Directed Research",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7003","020","16713","Directed Research",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7013","001","12642","Research Seminar",  3,"F","3:00-5:45pm","Main Camp","BB 3.04.18","Jose-Yacaman, Miguel",08/27-12/20,16,95,9,86,Wed  Dec 17  12:30 pm - 03:00 pm  ,  $120,BM, 
